,key,rule,severity,component,project,hash,textRange,flows,resolution,status,message,effort,debt,author,tags,creationDate,updateDate,closeDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,line
10,0e0387b0-0137-4380-bd53-6e317ac4e311,python:S101,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,b9483e04d0aa323cdde21fc73f07f5db,"{'startLine': 418, 'endLine': 418, 'startOffset': 6, 'endOffset': 21}",[],FIXED,CLOSED,"Rename class ""LDIFWriter_Sane"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",5min,5min,humbedooh@apache.org,['convention'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
11,4ce4b8c7-a4ac-432b-96e7-729aedac10c4,python:S3776,CRITICAL,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,c4e3d88ea585dc3278b16a37c7f95f42,"{'startLine': 82, 'endLine': 82, 'startOffset': 4, 'endOffset': 13}","[{'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 84, 'endLine': 84, 'startOffset': 4, 'endOffset': 7}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 86, 'endLine': 86, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 86, 'endLine': 86, 'startOffset': 27, 'endOffset': 30}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 89, 'endLine': 89, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 91, 'endLine': 91, 'startOffset': 12, 'endOffset': 15}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 92, 'endLine': 92, 'startOffset': 16, 'endOffset': 18}, 'msg': '+4 (incl 3 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 95, 'endLine': 95, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 96, 'endLine': 96, 'startOffset': 12, 'endOffset': 14}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}]",FIXED,CLOSED,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,7min,7min,humbedooh@apache.org,['brain-overload'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",FIXED,False,
12,4fb076cb-a072-4af9-affd-59a066cf7cc4,python:S117,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,dce2ed8ab21ab356a7372fe9eeea9e0a,"{'startLine': 349, 'endLine': 349, 'startOffset': 8, 'endOffset': 17}",[],FIXED,CLOSED,"Rename this parameter ""forcePass"" to match the regular expression ^[_a-z][a-z0-9_]*$.",2min,2min,humbedooh@apache.org,['convention'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
13,59fa3fe1-fb05-4b9c-8d6a-941ebe33fb77,python:S117,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,cf68f291a2c5484aedce51340b0c2175,"{'startLine': 376, 'endLine': 376, 'startOffset': 8, 'endOffset': 15}",[],FIXED,CLOSED,"Rename this local variable ""surName"" to match the regular expression ^[_a-z][a-z0-9_]*$.",2min,2min,humbedooh@apache.org,['convention'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
14,bc6a237b-6ece-438c-a054-7e3d0e15f2fb,python:S1481,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,bc908a9997d95a2d12a109b9a3c9d422,"{'startLine': 386, 'endLine': 386, 'startOffset': 83, 'endOffset': 84}",[],FIXED,CLOSED,"Replace the unused loop index ""i"" with ""_"".",5min,5min,humbedooh@apache.org,['unused'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
15,c0216f0a-9f91-4ab3-8504-c4811002b2de,python:S116,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,19eb1595bd07fc241c857ce8e04e6d0e,"{'startLine': 294, 'endLine': 294, 'startOffset': 17, 'endOffset': 24}",[],FIXED,CLOSED,"Rename this field ""isAdmin"" to match the regular expression ^[_a-z][_a-z0-9]*$.",2min,2min,humbedooh@apache.org,['convention'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
16,c25a6e7e-876d-49c5-99c0-b9218294cf65,python:S3776,CRITICAL,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,b65a68b1e158a5bf7a643f8a3a3d4b4f,"{'startLine': 166, 'endLine': 166, 'startOffset': 8, 'endOffset': 14}","[{'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 169, 'endLine': 169, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 171, 'endLine': 171, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 174, 'endLine': 174, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 178, 'endLine': 178, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 183, 'endLine': 183, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 219, 'endLine': 219, 'startOffset': 8, 'endOffset': 11}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 221, 'endLine': 221, 'startOffset': 12, 'endOffset': 15}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 224, 'endLine': 224, 'startOffset': 16, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 231, 'endLine': 231, 'startOffset': 8, 'endOffset': 11}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 233, 'endLine': 233, 'startOffset': 12, 'endOffset': 15}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldap.py', 'textRange': {'startLine': 236, 'endLine': 236, 'startOffset': 16, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}]",FIXED,CLOSED,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,7min,7min,humbedooh@apache.org,['brain-overload'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",FIXED,False,
17,c90fe552-5228-47c8-90a8-c35712440c16,python:S117,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,04ee61cafcae362a1c2fb27410fed8ff,"{'startLine': 375, 'endLine': 375, 'startOffset': 8, 'endOffset': 17}",[],FIXED,CLOSED,"Rename this local variable ""givenName"" to match the regular expression ^[_a-z][a-z0-9_]*$.",2min,2min,humbedooh@apache.org,['convention'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
18,edd7bb14-9e20-467d-aef0-aac619fae38c,python:S117,MINOR,apache-infrastructure-asfpy:asfpy/ldap.py,apache-infrastructure-asfpy,702241c7d1e3bb34861793ebc445b5bd,"{'startLine': 350, 'endLine': 350, 'startOffset': 8, 'endOffset': 18}",[],FIXED,CLOSED,"Rename this parameter ""requireTwo"" to match the regular expression ^[_a-z][a-z0-9_]*$.",2min,2min,humbedooh@apache.org,['convention'],2022-07-30T13:47:25,2023-07-10T11:26:04,2023-07-10T11:26:04,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
19,658aa44c-962e-45ff-b5eb-78570d03f22b,python:S3776,CRITICAL,apache-infrastructure-asfpy:asfpy/ldapadmin.py,apache-infrastructure-asfpy,c4e3d88ea585dc3278b16a37c7f95f42,"{'startLine': 82, 'endLine': 82, 'startOffset': 4, 'endOffset': 13}","[{'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 84, 'endLine': 84, 'startOffset': 4, 'endOffset': 7}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 86, 'endLine': 86, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 86, 'endLine': 86, 'startOffset': 27, 'endOffset': 30}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 89, 'endLine': 89, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 91, 'endLine': 91, 'startOffset': 12, 'endOffset': 15}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 92, 'endLine': 92, 'startOffset': 16, 'endOffset': 18}, 'msg': '+4 (incl 3 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 95, 'endLine': 95, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 96, 'endLine': 96, 'startOffset': 12, 'endOffset': 14}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}]",,OPEN,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,7min,7min,humbedooh@apache.org,['brain-overload'],2022-07-30T13:47:25,2023-07-10T11:26:04,,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,82.0
